x_m,y_m,d_right,d_left
2.0988813985592985,-0.6669174099841995,0.9,0.925
2.349889025937462,-0.6621711870452066,0.9,0.9750000000000001
2.600858180541535,-0.6548179086778413,0.9,0.9750000000000001
2.8506073315523146,-0.6304932485985156,0.925,1.0
3.100047770468378,-0.6018741169067079,0.9500000000000001,1.0250000000000001
3.347509988484979,-0.5595357640437548,1.0250000000000001,1.125
3.5881746661738156,-0.5026989354216318,1.125,1.1
3.7751664463119643,-0.3351469690762703,1.25,1.1
3.9207229578461797,-0.14306386144378253,0.9,1.2000000000000002
3.9776966306677264,0.10146341284408683,0.875,1.2750000000000001
4.021693471115972,0.3482776739177979,0.875,0.9750000000000001
4.051745059622306,0.5975495922994664,0.8500000000000001,0.8500000000000001
4.075749409195765,0.847434168538916,0.8250000000000001,0.775
4.09630377346679,1.0976682696819169,0.8,0.775
4.101023853747997,1.3485696190495702,0.8,0.775
4.1015944366672565,1.5996458260078625,0.8,0.775
4.0857566105800665,1.8501926574142966,0.8,0.775
4.067954975942065,2.1006183220836325,0.8250000000000001,0.8
4.040994562501522,2.3502434878272864,0.8500000000000001,0.775
4.0120188686158595,2.5996189324850048,0.875,0.75
3.977235389715278,2.848274712351478,0.875,0.8250000000000001
3.9350990153445213,3.095630074806139,0.8250000000000001,0.8250000000000001
3.8824866954375294,3.341132683874628,0.8500000000000001,0.875
3.773614702241429,3.560968138037766,1.0250000000000001,0.9
3.622682069757665,3.7616144131513414,1.0,0.925
3.4074597709465784,3.875456526645253,0.8250000000000001,0.9
3.1715263549383406,3.9613344078261203,0.775,0.8500000000000001
2.9233785152137477,3.9966837951025207,0.875,0.75
2.67450838480476,4.029523761771445,1.1,0.75
2.4283187606898817,4.078821390959943,1.475,0.8
2.1865731063643596,4.14167732580894,1.6,0.9500000000000001
1.9589676585163929,4.247674247346114,1.5750000000000002,1.2000000000000002
1.753770744315489,4.384586257043748,1.5250000000000001,1.55
1.582218719493809,4.567915169234415,1.425,1.675
1.4929361006672863,4.789589132315605,1.4000000000000001,1.375
1.4628581427668363,5.038857870255142,1.425,1.25
1.4824252698034648,5.287519286327406,1.375,1.2750000000000001
1.5185920589252604,5.535977634204975,1.3,1.375
1.5822896760089415,5.778680618942437,1.25,1.475
1.6474478972457818,6.021108549692257,1.125,1.5250000000000001
1.6951859089124475,6.26760534380436,1.125,1.55
1.7447118391620449,6.513725236350652,1.075,1.4000000000000001
1.8005396720091138,6.758516658473715,1.075,1.2750000000000001
1.8553443846752897,7.0035354465786765,1.0,1.2000000000000002
1.9084500192292668,7.248931817464741,1.0,1.175
1.9699719970267957,7.492217885578219,0.9500000000000001,1.1
2.0389304222573665,7.733639348698529,0.875,1.125
2.1069249437582664,7.975333106291316,0.925,1.075
2.1744776501930927,8.2171516728216,0.9,1.0250000000000001
