dataset_role,event_id,method,candidate_budget_k,oracle_v2_hard_feasible,oracle_v2_usable_feasible,hard_valid_recovered,usable_valid_recovered,selected_or_constructed_candidate_count,validator_execution_count,unique_path_count,hard_valid_candidate_count,usable_valid_candidate_count,frozen_artifact_candidate_parity,frozen_artifact_candidate_parity_count,best_hard_path_digest,best_usable_path_digest
DEVELOPMENT,DVE021,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE021,H3_FIXED_BOUNDED,24,False,False,False,False,24,8,4,0,0,True,24,,
DEVELOPMENT,DVE021,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,8,4,0,0,True,24,,
DEVELOPMENT,DVE021,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,4,4,0,0,True,12,,
DEVELOPMENT,DVE022,PRODUCTION,PRODUCTION,True,True,False,False,2,2,2,0,0,,,,
DEVELOPMENT,DVE022,H3_FIXED_BOUNDED,24,True,True,True,True,24,23,22,10,10,True,24,ff71459bd19cc5b9,ff71459bd19cc5b9
DEVELOPMENT,DVE022,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,20,20,7,7,True,24,4691d3fd870f4b55,4691d3fd870f4b55
DEVELOPMENT,DVE022,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,5,5,True,12,4691d3fd870f4b55,4691d3fd870f4b55
DEVELOPMENT,DVE023,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE023,H3_FIXED_BOUNDED,24,True,False,True,False,24,24,14,6,0,True,24,89fac2212ef110e6,
DEVELOPMENT,DVE023,H4A_GEOMETRY_TRANSITION,24,True,False,True,False,24,24,22,6,0,True,24,89fac2212ef110e6,
DEVELOPMENT,DVE023,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,True,False,12,12,12,6,0,True,12,89fac2212ef110e6,
DEVELOPMENT,DVE024,PRODUCTION,PRODUCTION,True,True,False,False,30,30,30,0,0,,,,
DEVELOPMENT,DVE024,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE024,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,2,2,True,24,1b49ddcbf14a7f6e,1b49ddcbf14a7f6e
DEVELOPMENT,DVE024,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,10,10,0,0,True,12,,
DEVELOPMENT,DVE025,PRODUCTION,PRODUCTION,False,False,False,False,7,7,4,0,0,,,,
DEVELOPMENT,DVE025,H3_FIXED_BOUNDED,24,False,False,False,False,24,17,10,0,0,True,24,,
DEVELOPMENT,DVE025,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,12,11,0,0,True,24,,
DEVELOPMENT,DVE025,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,4,4,0,0,True,12,,
DEVELOPMENT,DVE026,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE026,H3_FIXED_BOUNDED,24,False,False,False,False,24,15,8,0,0,True,24,,
DEVELOPMENT,DVE026,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,11,9,0,0,True,24,,
DEVELOPMENT,DVE026,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,6,6,0,0,True,12,,
DEVELOPMENT,DVE027,PRODUCTION,PRODUCTION,False,False,False,False,8,8,8,0,0,,,,
DEVELOPMENT,DVE027,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE027,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE027,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
DEVELOPMENT,DVE028,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE028,H3_FIXED_BOUNDED,24,False,False,False,False,24,8,4,0,0,True,24,,
DEVELOPMENT,DVE028,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,8,4,0,0,True,24,,
DEVELOPMENT,DVE028,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,4,4,0,0,True,12,,
DEVELOPMENT,DVE029,PRODUCTION,PRODUCTION,True,True,False,False,30,30,30,0,0,,,,
DEVELOPMENT,DVE029,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE029,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE029,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,10,10,0,0,True,12,,
DEVELOPMENT,DVE030,PRODUCTION,PRODUCTION,True,True,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE030,H3_FIXED_BOUNDED,24,True,True,False,False,24,20,11,0,0,True,24,,
DEVELOPMENT,DVE030,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,16,14,0,0,True,24,,
DEVELOPMENT,DVE030,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,9,9,0,0,True,12,,
DEVELOPMENT,DVE031,PRODUCTION,PRODUCTION,True,True,False,False,9,9,9,0,0,,,,
DEVELOPMENT,DVE031,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,1,1,True,24,cc1e01e52052979e,cc1e01e52052979e
DEVELOPMENT,DVE031,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,19,19,4,4,True,24,6cec8ddcb47093e3,6cec8ddcb47093e3
DEVELOPMENT,DVE031,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,10,10,2,2,True,12,b8d1d5e5f8fcef93,b8d1d5e5f8fcef93
DEVELOPMENT,DVE032,PRODUCTION,PRODUCTION,True,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE032,H3_FIXED_BOUNDED,24,True,False,False,False,24,16,8,0,0,True,24,,
DEVELOPMENT,DVE032,H4A_GEOMETRY_TRANSITION,24,True,False,False,False,24,14,9,0,0,True,24,,
DEVELOPMENT,DVE032,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,False,False,False,12,7,7,0,0,True,12,,
DEVELOPMENT,DVE033,PRODUCTION,PRODUCTION,False,False,False,False,2,2,1,0,0,,,,
DEVELOPMENT,DVE033,H3_FIXED_BOUNDED,24,False,False,False,False,24,15,8,0,0,True,24,,
DEVELOPMENT,DVE033,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,11,9,0,0,True,24,,
DEVELOPMENT,DVE033,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,6,6,0,0,True,12,,
DEVELOPMENT,DVE034,PRODUCTION,PRODUCTION,False,False,False,False,6,6,5,0,0,,,,
DEVELOPMENT,DVE034,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,18,0,0,True,24,,
DEVELOPMENT,DVE034,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE034,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,12,12,0,0,True,12,,
DEVELOPMENT,DVE035,PRODUCTION,PRODUCTION,False,False,False,False,8,8,4,0,0,,,,
DEVELOPMENT,DVE035,H3_FIXED_BOUNDED,24,False,False,False,False,24,24,14,0,0,True,24,,
DEVELOPMENT,DVE035,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,18,17,0,0,True,24,,
DEVELOPMENT,DVE035,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,8,8,0,0,True,12,,
DEVELOPMENT,DVE036,PRODUCTION,PRODUCTION,False,False,False,False,7,7,7,0,0,,,,
DEVELOPMENT,DVE036,H3_FIXED_BOUNDED,24,False,False,False,False,24,21,21,0,0,True,24,,
DEVELOPMENT,DVE036,H4A_GEOMETRY_TRANSITION,24,False,False,False,False,24,14,14,0,0,True,24,,
DEVELOPMENT,DVE036,H4B_GEOMETRY_LATERAL_TRANSITION,12,False,False,False,False,12,6,6,0,0,True,12,,
DEVELOPMENT,DVE037,PRODUCTION,PRODUCTION,True,True,False,False,3,3,3,0,0,,,,
DEVELOPMENT,DVE037,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE037,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE037,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,False,False,12,12,12,0,0,True,12,,
DEVELOPMENT,DVE038,PRODUCTION,PRODUCTION,True,True,False,False,2,2,2,0,0,,,,
DEVELOPMENT,DVE038,H3_FIXED_BOUNDED,24,True,True,True,True,24,24,24,11,11,True,24,934f4d084c7f8e9a,934f4d084c7f8e9a
DEVELOPMENT,DVE038,H4A_GEOMETRY_TRANSITION,24,True,True,True,True,24,24,24,7,7,True,24,4e9b9331456c45de,4e9b9331456c45de
DEVELOPMENT,DVE038,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,5,5,True,12,4e9b9331456c45de,4e9b9331456c45de
DEVELOPMENT,DVE039,PRODUCTION,PRODUCTION,True,True,False,False,18,18,18,0,0,,,,
DEVELOPMENT,DVE039,H3_FIXED_BOUNDED,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE039,H4A_GEOMETRY_TRANSITION,24,True,True,False,False,24,24,24,0,0,True,24,,
DEVELOPMENT,DVE039,H4B_GEOMETRY_LATERAL_TRANSITION,12,True,True,True,True,12,12,12,1,1,True,12,41b950d6ba58d712,41b950d6ba58d712
