dataset_role,event_id,budget_b,miss_class,teacher_stream,teacher_side,teacher_d_target,teacher_d_mid,teacher_entry_scale,teacher_exit_scale,teacher_target_source,teacher_mid_source,lateral_present,transition_present,exact_pair_present,exact_pair_selected,pair_proxy_evaluations
VALIDATION_SEEN_AFTER_V1,VUE018,32,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.33720848132730785,-0.35244962632503296,1.310934367577036,0.593401111722821,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.125,False,True,False,False,32
VALIDATION_SEEN_AFTER_V1,VUE018,48,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.33720848132730785,-0.35244962632503296,1.310934367577036,0.593401111722821,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.125,False,True,False,False,48
VALIDATION_SEEN_AFTER_V1,VUE020,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.41575544638207595,0.41575544638207595,0.5145810930150512,0.4971684162574945,PRODUCTION_TARGET_PLUS_0.01M,MID_EQUALS_TARGET,False,True,False,False,24
VALIDATION_SEEN_AFTER_V1,VUE025,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,False,True,False,False,24
VALIDATION_SEEN_AFTER_V1,VUE025,32,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,False,True,False,False,32
VALIDATION_SEEN_AFTER_V1,VUE025,48,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,False,True,False,False,48
VALIDATION_SEEN_AFTER_V1,VUE025,64,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,LEFT,0.21,0.34462591587067476,0.5145810930150512,3.534887747961509,PRODUCTION_TARGET_PLUS_0.06M,TO_CORRIDOR_CENTER_1_F0.438,False,True,False,False,64
VALIDATION_SEEN_AFTER_V1,VUE026,24,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.3963851609308264,-0.43558701581447307,1.310934367577036,0.6049868191659147,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.250,False,True,False,False,24
VALIDATION_SEEN_AFTER_V1,VUE026,32,LATERAL_HYPOTHESIS_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.3963851609308264,-0.43558701581447307,1.310934367577036,0.6049868191659147,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.250,False,True,False,False,32
VALIDATION_SEEN_AFTER_V1,VUE026,48,USEFUL_L_T_PAIR_ABSENT,FEASIBILITY_TOP10,RIGHT,-0.3963851609308264,-0.43558701581447307,1.310934367577036,0.6049868191659147,PRODUCTION_TARGET,TO_CORRIDOR_CENTER_0_F0.250,True,True,False,False,48
