dataset_role,event_id,teacher_method,teacher_selection_rank,teacher_stream,side,d_target,d_mid,entry_scale,exit_scale,target_source,target_family,mid_source,mid_family,probe_root_source,transition_family,domain_lower,domain_upper,component_count,bottleneck_center,bottleneck_width,bottleneck_station,next_obstacle_start,max_corridor_violation_m,slope_excess,curvature_proxy,exit_conflict_proxy,path_digest,hard_valid,usable_valid,first_failure_reason,teacher_final_selected_path,teacher_final_selected_path_digest,teacher_final_selected_usable
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,9,FEASIBILITY_TOP10,LEFT,0.170625,0.130625,1.310934367577036,6.630707249408404,COMPONENT_C0_NEAR_TO_FAR_F0.03125000,COMPONENT_BOUNDARY_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509403684388095,0,84273c1f58e5ebae,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,10,FEASIBILITY_TOP10,LEFT,0.1803125,0.14031249999999998,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_PLUS_0.02M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509517401319175,0,703356b1d0dddffa,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,11,COVERAGE_RESERVE_TOP2,LEFT,0.1803125,0.14031249999999998,1.310934367577036,6.630707249408404,PRODUCTION_TARGET_PLUS_0.02M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.6509517401319175,0,703356b1d0dddffa,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E02,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,12,COVERAGE_RESERVE_TOP2,LEFT,0.15,0.11249999999999999,0.5145810930150512,0.4971684162574945,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,REFERENCE_INWARD_F0.75,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_SHORT_EXIT,0.15,0.81,1,0.414193609605218,0.7916127807895639,0.2915671120343557,inf,0.0,0.0,0.7649410762102132,0,5f8f15da3ad60d04,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,1,FEASIBILITY_TOP10,LEFT,0.20958710018478394,0.16958710018478393,0.5145810930150512,3.5589481428259986,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_MEDIUM_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.8681886546168576,0,0515df5096ab4416,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,2,FEASIBILITY_TOP10,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,6.620727869394503,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_LONG_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.8804318953186008,0,0e80da04fd67df6e,1,True,,True,0e80da04fd67df6e,True
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,3,FEASIBILITY_TOP10,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,3.5589481428259986,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_MEDIUM_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.8823780188436126,0,955b4660f02ca049,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,4,FEASIBILITY_TOP10,LEFT,0.1953345144734313,0.1853345144734313,1.310934367577036,0.5928490327127602,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_SHORT_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9083028063402243,0,ce8aca08bd28be97,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,5,FEASIBILITY_TOP10,LEFT,0.2053345144734313,0.1853345144734313,0.5145810930150512,6.620727869394503,PRODUCTION_TARGET_PLUS_0.02M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.02M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_LONG_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9494558357797107,0,346aa58490b2aa24,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,6,FEASIBILITY_TOP10,LEFT,0.2053345144734313,0.1853345144734313,0.5145810930150512,3.5589481428259986,PRODUCTION_TARGET_PLUS_0.02M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.02M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_MEDIUM_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.953525494114347,0,6f2c005020c1af6c,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,7,FEASIBILITY_TOP10,LEFT,0.20958710018478394,0.16958710018478393,0.5145810930150512,0.5928490327127602,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,NON_BOUNDED_TRANSITION_ANCHOR,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9548304156174043,0,472e8ecc581da127,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,8,FEASIBILITY_TOP10,LEFT,0.19958710018478393,0.18958710018478392,0.5145810930150512,6.620727869394503,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_LONG_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9571837212773877,0,b5921cbbe5ff22df,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,9,FEASIBILITY_TOP10,LEFT,0.19958710018478393,0.18958710018478392,0.5145810930150512,3.5589481428259986,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_MEDIUM_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.959167464982897,0,d43e9dfc0f4f565d,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,10,FEASIBILITY_TOP10,LEFT,0.20958710018478394,0.16958710018478393,0.5145810930150512,0.4971684162574945,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_SHORT_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9743792182791506,0,012030e8005a7605,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,11,COVERAGE_RESERVE_TOP2,LEFT,0.20958710018478394,0.16958710018478393,0.5145810930150512,3.5589481428259986,PRODUCTION_TARGET_PLUS_0.01M,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.04M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,SHORT_ENTRY_MEDIUM_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.8681886546168576,0,0515df5096ab4416,0,False,shifted race line exceeds right control steering curvature,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E03,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,12,COVERAGE_RESERVE_TOP2,LEFT,0.19958710018478393,0.18958710018478392,1.310934367577036,6.620727869394503,PRODUCTION_TARGET,PRODUCTION_TARGET_FAMILY,TARGET_MINUS_0.01M,TARGET_OFFSET_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_LONG_EXIT,0.1853345144734313,1.0975000000000001,1,0.6414172572367157,0.9121654855265688,0.3885738629853748,inf,0.0,0.0,2.9571837212773877,0,b5921cbbe5ff22df,1,True,,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,1,FEASIBILITY_TOP10,LEFT,0.57125,0.1428125,1.310934367577036,0.5617075842538356,PRODUCTION_TARGET_PLUS_0.06M,PRODUCTION_TARGET_FAMILY,REFERENCE_INWARD_F0.25,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_SHORT_EXIT,0.15,0.8725,1,0.455529450277968,0.8339410994440639,12.664824110749416,inf,0.08871718614062751,0.0,3.3361930378874907,0,1183d8fdcd5e3d53,0,False,footprint_track_bound,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,2,FEASIBILITY_TOP10,LEFT,0.8724999999999999,0.43624999999999997,1.310934367577036,0.5617075842538356,COMPONENT_C0_NEAR_TO_FAR_F1.00000000,COMPONENT_BOUNDARY_FAMILY,REFERENCE_INWARD_F0.50,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_SHORT_EXIT,0.15,0.8725,1,0.455529450277968,0.8339410994440639,12.664824110749416,inf,0.0909865285774224,0.0,3.4470120801575224,0,2cd62689e648eba1,0,False,footprint_track_bound,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,3,FEASIBILITY_TOP10,LEFT,0.8612109375,0.43060546875,1.310934367577036,0.5617075842538356,COMPONENT_C0_NEAR_TO_FAR_F0.98437500,COMPONENT_BOUNDARY_FAMILY,REFERENCE_INWARD_F0.50,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_SHORT_EXIT,0.15,0.8725,1,0.455529450277968,0.8339410994440639,12.664824110749416,inf,0.0924995775220433,0.0,3.4024120402593545,0,814bd654d5fffc9f,0,False,footprint_track_bound,False,,
PILOT_SEEN_DEVELOPMENT_DATA,V2E04,R3_LEXICOGRAPHIC_COVERAGE_RESERVE_K12,4,FEASIBILITY_TOP10,LEFT,0.55125,0.1378125,1.310934367577036,0.5617075842538356,PRODUCTION_TARGET_PLUS_0.04M,PRODUCTION_TARGET_FAMILY,REFERENCE_INWARD_F0.25,REFERENCE_INWARD_FAMILY,NOT_APPLICABLE_DIRECT_DT_DM_FACTOR,LONG_ENTRY_SHORT_EXIT,0.15,0.8725,1,0.455529450277968,0.8339410994440639,12.664824110749416,inf,0.0928907420256736,0.0,3.2230681311726137,0,0d74633ecd3ba9aa,0,False,footprint_track_bound,False,,
