id,s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left,d_right
161,29.084414,13.671485,2.456902,1.171933,0.158366,5.071764,-2,1.4,1.4
162,29.265111,13.739273,2.624401,1.250641,0.713354,5,2.003,1.4,1.4
163,29.445545,13.784902,2.798971,1.327138,0.132832,5.071767,-2,1.4,1.4
164,29.62625,13.826393,2.974847,1.379137,0.443013,5,0,1.35,1.35
165,29.806849,13.853671,3.153375,1.457811,0.427659,5,2.000678,1.355907,1.355907
166,29.987492,13.867091,3.333519,1.501842,0.05981,5.071767,-2,1.361349,1.361349
167,30.168197,13.878567,3.513859,1.578782,0.792403,5,2.00333,1.396791,1.396791
168,30.348601,13.864214,3.693691,1.663222,0.141477,5.071767,-2,1.4,1.4
169,30.529306,13.845242,3.873397,1.713243,0.412459,5,0,1.4,1.4
170,30.709935,13.812953,4.051116,1.810872,0.668137,5,2.001684,1.4,1.4
171,30.890487,13.759518,4.22358,1.878939,0.08509,5.071767,-2,1.4,1.4
172,31.071192,13.703391,4.395347,1.952189,0.725992,5,3.7,1.4,1.4
173,31.251692,13.625361,4.558111,2.039135,0.235777,5.131833,-1.696386,1.4,1.4
174,31.43239,13.540381,4.717579,2.094114,0.37299,5.071749,-2,1.4,1.4
175,31.61305,13.444873,4.870929,2.222512,1.048293,5,2.003499,1.4,1.4
176,31.793439,13.322369,5.003341,2.326938,0.10616,5.071767,-2,1.4,1.4
177,31.974144,13.197131,5.133608,2.396127,0.659863,5,3.469031,1.4,1.4
178,32.154724,13.057379,5.247969,2.490201,0.380911,5.123756,-1.466865,1.4,1.4
179,32.335402,12.910014,5.352507,2.533939,0.103361,5.071766,-2,1.4,1.4
180,32.516105,12.760701,5.454289,2.606874,0.703839,5,3.7,1.4,1.4
181,32.696698,12.599779,5.536251,2.675428,0.054438,5.131899,2.30177,1.4,1.4
182,32.877402,12.437959,5.616677,2.712684,0.357932,5.212319,-2,1.4,1.4
183,33.058081,12.271302,5.686464,2.777783,0.362483,5.142524,-2,1.4,1.4
184,33.238764,12.10043,5.745193,2.812459,0.021286,5.071767,-2,1.38,1.38
185,33.419469,11.929313,5.803273,2.874053,0.660294,5,3.7,1.32,1.32
186,33.600103,11.752567,5.840547,2.9414,0.084692,5.131929,-1.698635,1.288419,1.288419
187,33.780807,11.575202,5.875126,2.969696,0.228511,5.071764,-2,1.26,1.26
188,33.961504,11.396567,5.902352,3.030172,0.44075,5,2.000244,1.23,1.23
189,34.142187,11.216347,5.915276,3.071573,0.017367,5.071767,-2,1.2,1.2
190,34.322892,11.036066,5.927635,3.114603,0.458798,5,3.7,1.223628,1.223628
191,34.503576,10.855401,5.92502,-3.112621,0.160436,5.131965,-1.699609,1.23,1.23
192,34.684279,10.674868,5.917168,-3.089274,0.097969,5.071767,-2,1.23,1.23
193,34.864983,10.494502,5.906121,-3.039601,0.451705,5,2.000103,1.26,1.26
194,35.045676,10.315649,5.880403,-2.97875,0.221648,5.071766,-2,1.264512,1.264512
195,35.226379,10.137959,5.847542,-2.886998,0.793237,5,3.7,1.306512,1.306512
196,35.407066,9.966807,5.78962,-2.818875,-0.039934,5.131967,3.7,1.367256,1.367256
197,35.587771,9.795225,5.732929,-2.843491,-0.232498,5.260637,3.7,1.4,1.4
