control_event_id,selector,budget_k,dataset_role,production_digest_parity,production_hard_valid_count,production_hard_valid_side_availability,production_selected_side,production_selected_minimum_normalized_safety_slack,production_selected_footprint_track_margin_m,production_selected_obstacle_margin_m,proposed_selected_exact_tuple_count,proposed_construction_guard_reject_count,proposed_duplicate_path_count,proposed_deduplicated_validator_calls,proposed_hard_valid_count,proposed_generates_hard_valid,proposed_hard_valid_side_availability,production_selected_side_available_in_proposed,proposed_best_minimum_normalized_safety_slack,proposed_minus_production_normalized_safety_slack,proposed_best_footprint_track_margin_m,proposed_minus_production_footprint_margin_m,proposed_best_obstacle_margin_m,proposed_minus_production_obstacle_margin_m,offline_audit_harness_wall_runtime_s,deployment_fallback_behavior,deployment_additional_validator_calls_on_success,deployment_selected_path_changed
SCE002,H4A_GEOMETRY_TRANSITION,4,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,4,0,0,4,1,True,LEFT,True,0.0069351344651452278,-0.003615009450280389,0.530378934551757,0.0,0.010402701697717842,-0.005422514175420584,0.0079447549978795,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4A_GEOMETRY_TRANSITION,8,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,8,0,0,8,2,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.011369947002094705,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4A_GEOMETRY_TRANSITION,12,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,12,1,0,11,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.009257603000150993,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4A_GEOMETRY_TRANSITION,16,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,16,3,0,13,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.011567542002012488,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4A_GEOMETRY_TRANSITION,24,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,24,7,0,17,4,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.005609812000329839,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4B_GEOMETRY_LATERAL_TRANSITION,4,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,4,0,0,4,0,False,,False,,,,,,,0.005497521000506822,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4B_GEOMETRY_LATERAL_TRANSITION,8,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,8,0,0,8,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.01050847800070187,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4B_GEOMETRY_LATERAL_TRANSITION,12,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,12,1,0,11,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.00655744000323466,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4B_GEOMETRY_LATERAL_TRANSITION,16,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,16,3,0,13,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.008703385999979218,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
SCE002,H4B_GEOMETRY_LATERAL_TRANSITION,24,PILOT_SEEN_DEVELOPMENT_DATA_SUCCESS_CONTROL_AUXILIARY,True,2,LEFT,LEFT,0.010550143915425617,0.530378934551757,0.015825215873138426,24,8,0,16,3,True,LEFT,True,0.1072414300248012,0.09669128610937558,0.46882894057408914,-0.06154999397766786,0.16086214503720181,0.14503692916406338,0.013575410001067212,PRODUCTION_FIRST_SKIP_PROPOSED_STAGE_WHEN_PRODUCTION_HARD_VALID,0,False
