dataset_role,validity_metric,hypothesis,budget_k,oracle_v2_feasible_production_failure_count,recovered_episode_count,recovery_rate,recovered_event_ids,unrecovered_event_ids
VALIDATION_SEEN_AFTER_V1,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,25,16,0.64,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,VUE009|VUE010|VUE011|VUE012|VUE013|VUE014|VUE026|VUE035|VUE036
VALIDATION_SEEN_AFTER_V1,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,12,25,19,0.76,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,16,25,19,0.76,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,HARD,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,24,25,19,0.76,VUE004|VUE005|VUE006|VUE007|VUE008|VUE011|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE009|VUE010|VUE012|VUE013|VUE014|VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,8,19,16,0.8421052631578947,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,VUE026|VUE035|VUE036
VALIDATION_SEEN_AFTER_V1,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,12,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,16,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R1_FEASIBILITY_LEXICOGRAPHIC,24,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R2_BALANCED_PHYSICS_SCORE,8,19,14,0.7368421052631579,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE027|VUE028|VUE030|VUE033|VUE034,VUE025|VUE026|VUE032|VUE035|VUE036
VALIDATION_SEEN_AFTER_V1,USABLE,R2_BALANCED_PHYSICS_SCORE,12,19,17,0.8947368421052632,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE033|VUE034|VUE036,VUE032|VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R2_BALANCED_PHYSICS_SCORE,16,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R2_BALANCED_PHYSICS_SCORE,24,19,18,0.9473684210526315,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE026|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034|VUE036,VUE035
VALIDATION_SEEN_AFTER_V1,USABLE,R3_LEXICOGRAPHIC_COVERAGE_RESERVE,8,19,16,0.8421052631578947,VUE004|VUE005|VUE006|VUE007|VUE008|VUE018|VUE020|VUE023|VUE024|VUE025|VUE027|VUE028|VUE030|VUE032|VUE033|VUE034,VUE026|VUE035|VUE036
