dataset_role,event_id,strict_side_context_count,lateral_factor_evaluations,pair_priority_evaluations_per_hypothesis,transition_factor_count,geometry_json
DEVELOPMENT,DVE002,2,1981,3960,2,"[{""bottleneck_center"": -0.6317267948169558, ""bottleneck_station"": 0.3211246793662249, ""bottleneck_width"": 0.031546410366088296, ""component_count"": 1, ""components"": [[-0.6475, -0.6159535896339117]], ""domain_lower"": -0.6475, ""domain_upper"": -0.6159535896339117, ""lateral_factor_count"": 802, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.6952272129777833, ""bottleneck_station"": 0.24672569555011414, ""bottleneck_width"": 0.5545455740444336, ""component_count"": 1, ""components"": [[0.41795442595556653, 0.9600000000000002]], ""domain_lower"": 0.41795442595556653, ""domain_upper"": 0.9600000000000002, ""lateral_factor_count"": 1179, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE003,2,1202,2401,2,"[{""bottleneck_center"": -0.7735224115445856, ""bottleneck_station"": 1.1372486544721303, ""bottleneck_width"": 0.42295517691082907, ""component_count"": 1, ""components"": [[-0.9850000000000001, -0.562044823089171]], ""domain_lower"": -0.9850000000000001, ""domain_upper"": -0.562044823089171, ""lateral_factor_count"": 750, ""next_obstacle_start"": 5.955784459744204, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.3970040795201685, ""bottleneck_station"": 1.1372486544721303, ""bottleneck_width"": 0.7759918409596631, ""component_count"": 1, ""components"": [[0.15, 0.785]], ""domain_lower"": 0.15, ""domain_upper"": 0.7850000000000001, ""lateral_factor_count"": 452, ""next_obstacle_start"": 5.955784459744204, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE004,2,1038,1037,1,"[{""bottleneck_center"": -0.5712949594324481, ""bottleneck_station"": 0.06536223987305068, ""bottleneck_width"": 0.1524100811351038, ""component_count"": 1, ""components"": [[-0.6475, -0.4950899188648962]], ""domain_lower"": -0.6475, ""domain_upper"": -0.4950899188648962, ""lateral_factor_count"": 425, ""next_obstacle_start"": 1.898893241137757, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.5593118252810302, ""bottleneck_station"": 0.06536223987305068, ""bottleneck_width"": 0.82637634943794, ""component_count"": 1, ""components"": [[0.15, 0.9725000000000001]], ""domain_lower"": 0.15, ""domain_upper"": 0.9725000000000001, ""lateral_factor_count"": 613, ""next_obstacle_start"": 1.898893241137757, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE005,2,1042,6245,6,"[{""bottleneck_center"": -0.5505752893574969, ""bottleneck_station"": 0.13914538781190555, ""bottleneck_width"": 0.3188494212850062, ""component_count"": 1, ""components"": [[-0.71, -0.39115057871499376]], ""domain_lower"": -0.71, ""domain_upper"": -0.39115057871499376, ""lateral_factor_count"": 590, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.5373168124715338, ""bottleneck_station"": 0.13914538781190555, ""bottleneck_width"": 0.8953663750569324, ""component_count"": 1, ""components"": [[0.15, 0.9850000000000001]], ""domain_lower"": 0.15, ""domain_upper"": 0.9850000000000001, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE006,2,1400,2798,2,"[{""bottleneck_center"": -0.64306276340964, ""bottleneck_station"": 0.4619440537517596, ""bottleneck_width"": 0.03387447318072001, ""component_count"": 1, ""components"": [[-0.6475, -0.62612552681928]], ""domain_lower"": -0.6600000000000001, ""domain_upper"": -0.62612552681928, ""lateral_factor_count"": 564, ""next_obstacle_start"": 3.0288505207419707, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4904141731924557, ""bottleneck_station"": 0.4619440537517596, ""bottleneck_width"": 0.9391716536150889, ""component_count"": 1, ""components"": [[0.15, 0.9600000000000002]], ""domain_lower"": 0.15, ""domain_upper"": 0.9600000000000002, ""lateral_factor_count"": 836, ""next_obstacle_start"": 3.0288505207419707, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE007,2,1013,1012,1,"[{""bottleneck_center"": -0.5437983773347812, ""bottleneck_station"": 0.18666178201720474, ""bottleneck_width"": 0.6324032453304377, ""component_count"": 1, ""components"": [[-0.86, -0.2275967546695623]], ""domain_lower"": -0.8600000000000001, ""domain_upper"": -0.2275967546695623, ""lateral_factor_count"": 588, ""next_obstacle_start"": 2.4976782372312876, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.6113814909894921, ""bottleneck_station"": 0.18666178201720474, ""bottleneck_width"": 0.7222370180210159, ""component_count"": 1, ""components"": [[0.2502629819789842, 0.9725000000000001]], ""domain_lower"": 0.2502629819789842, ""domain_upper"": 0.9725000000000001, ""lateral_factor_count"": 425, ""next_obstacle_start"": 2.4976782372312876, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE008,1,587,1172,2,"[{""bottleneck_center"": 0.548617158890196, ""bottleneck_station"": 0.07393146874382239, ""bottleneck_width"": 0.47276568221960796, ""component_count"": 1, ""components"": [[0.31223431778039207, 0.785]], ""domain_lower"": 0.31223431778039207, ""domain_upper"": 0.7850000000000001, ""lateral_factor_count"": 587, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE009,2,1571,4710,3,"[{""bottleneck_center"": -0.49461842613189755, ""bottleneck_station"": 0.25851840947660154, ""bottleneck_width"": 0.3057631477362049, ""component_count"": 1, ""components"": [[-0.6475, -0.3417368522637951]], ""domain_lower"": -0.6475, ""domain_upper"": -0.3417368522637951, ""lateral_factor_count"": 564, ""next_obstacle_start"": 3.0405299901263714, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.7206614127146265, ""bottleneck_station"": 0.25851840947660154, ""bottleneck_width"": 0.5036771745707475, ""component_count"": 1, ""components"": [[0.4688228254292527, 0.9600000000000002]], ""domain_lower"": 0.4688228254292527, ""domain_upper"": 0.9725000000000001, ""lateral_factor_count"": 1007, ""next_obstacle_start"": 3.0405299901263714, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE010,2,1940,3878,2,"[{""bottleneck_center"": -0.6456309859254244, ""bottleneck_station"": 0.3464375631361024, ""bottleneck_width"": 0.003738028149151029, ""component_count"": 1, ""components"": [[-0.6475, -0.6437619718508489]], ""domain_lower"": -0.6475, ""domain_upper"": -0.6437619718508489, ""lateral_factor_count"": 761, ""next_obstacle_start"": 3.0769576780317345, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.7276416060918729, ""bottleneck_station"": 0.25754503606918544, ""bottleneck_width"": 0.4897167878162544, ""component_count"": 1, ""components"": [[0.48278321218374576, 0.9600000000000002]], ""domain_lower"": 0.48278321218374576, ""domain_upper"": 0.9600000000000002, ""lateral_factor_count"": 1179, ""next_obstacle_start"": 3.0769576780317345, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE011,1,1004,2006,2,"[{""bottleneck_center"": 0.6504779776182277, ""bottleneck_station"": 0.23844529797146086, ""bottleneck_width"": 0.6440440447635449, ""component_count"": 1, ""components"": [[0.3284559552364552, 0.9600000000000002]], ""domain_lower"": 0.3284559552364552, ""domain_upper"": 0.9600000000000002, ""lateral_factor_count"": 1004, ""next_obstacle_start"": 2.002049407444506, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE012,2,1249,36191,29,"[{""bottleneck_center"": -0.7704369119633374, ""bottleneck_station"": 0.16420911436709762, ""bottleneck_width"": 0.7291261760733255, ""component_count"": 1, ""components"": [[-1.1350000000000002, -0.4058738239266747]], ""domain_lower"": -1.1350000000000002, ""domain_upper"": -0.4058738239266747, ""lateral_factor_count"": 797, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.42136423716705995, ""bottleneck_station"": 0.16420911436709762, ""bottleneck_width"": 0.70227152566588, ""component_count"": 1, ""components"": [[0.15, 0.7725]], ""domain_lower"": 0.15, ""domain_upper"": 0.7725, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE013,2,1307,2610,2,"[{""bottleneck_center"": -0.68645918972566, ""bottleneck_station"": 0.0, ""bottleneck_width"": 0.04708162054868004, ""component_count"": 1, ""components"": [[-0.71, -0.6629183794513199]], ""domain_lower"": -0.71, ""domain_upper"": -0.6629183794513199, ""lateral_factor_count"": 666, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.6722045387978319, ""bottleneck_station"": 0.0, ""bottleneck_width"": 0.2255909224043361, ""component_count"": 1, ""components"": [[0.5594090775956639, 0.76]], ""domain_lower"": 0.5594090775956639, ""domain_upper"": 0.7850000000000001, ""lateral_factor_count"": 641, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
DEVELOPMENT,DVE014,2,1204,9623,8,"[{""bottleneck_center"": -0.6340907578303037, ""bottleneck_station"": 0.16805805978815336, ""bottleneck_width"": 0.5268184843393927, ""component_count"": 1, ""components"": [[-0.8975000000000001, -0.37068151566060736]], ""domain_lower"": -0.8975000000000002, ""domain_upper"": -0.37068151566060736, ""lateral_factor_count"": 752, ""next_obstacle_start"": Infinity, ""side"": ""RIGHT""}, {""bottleneck_center"": 0.4795244381328667, ""bottleneck_station"": 0.16805805978815336, ""bottleneck_width"": 0.7609511237342665, ""component_count"": 1, ""components"": [[0.15, 0.86]], ""domain_lower"": 0.15, ""domain_upper"": 0.8600000000000001, ""lateral_factor_count"": 452, ""next_obstacle_start"": Infinity, ""side"": ""LEFT""}]"
