event_id,dataset_role,lateral_order_exact,transition_order_exact,pair_order_exact,top12_exact,path_digests_verdicts_exact,selected_path_exact,plan_selected_path_exact,no_hidden_legacy_seed,snapshot_lineage_exact,method_sha_exact,bounded_contract_pass,pair_proxy_count,reconstruction_count,validator_count,legacy_seed_count,hard_valid_count,selected_path_digest,failure_classification
DVE013,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE014,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,4,688f323ac5b5281a,NONE
DVE015,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,10,0,10,cebf7cd727e69b5b,NONE
DVE016,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE017,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,11,5fc1bc133385802f,NONE
DVE018,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,08dd6c73cd03a774,NONE
DVE019,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,478371406d540558,NONE
DVE020,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,3,cf86fe0c77b35947,NONE
DVE021,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE022,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,11,8c8e23a5462309a6,NONE
DVE023,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE024,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,ba34849e0919dfa8,NONE
DVE025,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE026,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE027,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE028,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,3,c2689998875add3c,NONE
DVE029,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,6,1cb49b9c4b90cccf,NONE
DVE030,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,1,7bfffdb6149d2531,NONE
DVE031,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,10,48f18152a68e6dc7,NONE
DVE032,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE033,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE034,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE035,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE036,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE037,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,4,237b14031c68c366,NONE
DVE038,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,6,5e5878151111a007,NONE
DVE039,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
DVE040,DEVELOPMENT,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE001,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE002,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE003,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE004,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,1,54d1dcfbccfb6742,NONE
VUE005,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,10,1fe5aee2e5533c11,NONE
VUE006,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,d5e23cc92a60f607,NONE
VUE007,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,8,27f98bf62a6b2b58,NONE
VUE008,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,2,fe77a7df463e3d24,NONE
VUE009,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE010,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE011,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,8,6a1b79629e031da0,NONE
VUE012,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE013,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,1,37b63f7febd7e276,NONE
VUE014,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE015,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE016,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE017,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE018,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,2,98ccabf32fa2e493,NONE
VUE019,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE020,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,1,814707825e82708f,NONE
VUE021,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE022,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE023,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,11,f274578ba525e6e8,NONE
VUE024,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,12,f77c9862d84a366d,NONE
VUE025,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,1,90d5749d559fb39c,NONE
VUE026,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,11,0,1,3c2c2e8b167ff096,NONE
VUE027,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,10,0,8,d54c29b3b77176ad,NONE
VUE028,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,9,c5befcfebed2d72d,NONE
VUE029,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE030,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,8,b8731f9e01f2fd83,NONE
VUE031,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE032,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,4,411e0416cb3c31b9,NONE
VUE033,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,3,eadbb561675718b7,NONE
VUE034,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,6,4a1d8e165d26386b,NONE
VUE035,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,0,NONE,GQSC_V3_FROZEN_ENTRY
VUE036,VALIDATION_SEEN_AFTER_V1,1,1,1,1,1,1,1,1,1,1,1,128,12,12,0,6,e16d216d4ddd2d23,NONE
