event_id,dataset_role,repeat,evaluation_wall_us,gqsc_generation_us,exact_validation_us,final_ranking_us,lifecycle_us,fallback_us,callback_total_us,pair_proxy_count,reconstruction_count,validator_count,outcome
VUE027,VALIDATION_SEEN_AFTER_V1,5,10686.51,5899.9579999999987,4741.0030000000006,8.0109999999999992,721.00800000000004,0,11410.007,128,12,10,FRESH_SELECTED
VUE027,VALIDATION_SEEN_AFTER_V1,6,12484.823,7919.5940000000001,4528.1959999999999,6.1109999999999998,331.69200000000001,0,12819.483,128,12,10,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,0,10334.441000000001,5596.4999999999991,4701.3940000000002,6.2009999999999996,352.79000000000002,0,10690.032999999999,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,1,9942.4330000000009,5390.152,4522.1300000000001,5.5149999999999997,316.44400000000002,0,10260.898999999999,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,2,10088.763000000001,5363.9809999999998,4668.8230000000003,5.859,350.54899999999998,0,10441.556,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,3,10167.252,5492.1459999999997,4640.7130000000006,6.1980000000000004,360.52100000000002,0,10529.911,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,4,10044.368,5433.1020000000008,4577.7349999999997,5.9059999999999997,355.35300000000001,0,10402.030000000001,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,5,10101.619000000001,5467.646999999999,4601.366,5.5990000000000002,357.11200000000002,0,10464.384,128,12,12,FRESH_SELECTED
VUE028,VALIDATION_SEEN_AFTER_V1,6,10147.898999999999,5442.1439999999984,4673.5560000000014,5.673,349.76999999999998,0,10499.591,128,12,12,FRESH_SELECTED
VUE029,VALIDATION_SEEN_AFTER_V1,0,7307.4970000000003,5058.5390000000007,2221.9499999999998,0.20899999999999999,0,19355.532999999999,26664.804,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,1,8605.4570000000003,6183.5370000000003,2389.9870000000001,0.628,0,20004.956999999999,28612.764999999999,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,2,8158.3630000000003,5528.4059999999999,2587.893,0.53400000000000003,0,22663.755000000001,30824.539000000001,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,3,7500.4579999999996,5223.7960000000003,2249.2350000000001,0.19600000000000001,0,23678.409,31181.128000000001,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,4,7710.9840000000004,5302.7500000000009,2376.4979999999996,0.34300000000000003,0,19849.853999999999,27562.869999999999,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,5,7503.1769999999997,5181.1459999999997,2293.172,0.23599999999999999,0,19977.524000000001,27482.650000000001,128,12,12,NO_SAFE_PATH
VUE029,VALIDATION_SEEN_AFTER_V1,6,7681.5839999999998,5291.3149999999996,2361.3499999999999,0.218,0,21520.102999999999,29204.350999999999,128,12,12,NO_SAFE_PATH
VUE030,VALIDATION_SEEN_AFTER_V1,0,9061.8430000000008,5065.7520000000004,3960.5049999999997,6.4800000000000004,584.65800000000002,0,9648.8070000000007,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,1,8954.6929999999993,5051.0779999999995,3870.4210000000003,6.0289999999999999,561.46600000000001,0,9518.1929999999993,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,2,8918.0480000000007,5005.0370000000003,3883.0549999999994,5.6580000000000004,509.012,0,9428.8809999999994,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,3,8971.9110000000001,4988.1170000000002,3949.6579999999994,6.3289999999999997,703.26499999999999,0,9677.3089999999993,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,4,9813.1839999999993,5819.9339999999993,3953.4360000000006,7.7270000000000003,563.00999999999999,0,10379.143,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,5,9051.027,5088.6980000000003,3926.7280000000001,6.532,558.37900000000002,0,9611.6759999999995,128,12,12,FRESH_SELECTED
VUE030,VALIDATION_SEEN_AFTER_V1,6,8977.1990000000005,5051.0030000000006,3892.3830000000003,6.3289999999999997,564.86400000000003,0,9544.1949999999997,128,12,12,FRESH_SELECTED
VUE031,VALIDATION_SEEN_AFTER_V1,0,9427.3760000000002,5980.1940000000004,3418.5319999999997,0.183,0,25101.955999999998,34531.214,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,1,9389.6110000000008,6034.6419999999989,3327.3930000000009,0.17999999999999999,0,26858.983,36250.978000000003,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,2,9507.4840000000004,6170.7060000000001,3302.6989999999996,0.78100000000000003,0,25166.402999999998,34676.519,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,3,9267.8999999999996,5938.9849999999997,3303.8760000000002,0.22,0,24878.182000000001,34148.491000000002,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,4,9362.1980000000003,6037.2249999999985,3294.5930000000003,0.33200000000000002,0,27356.427,36721.5,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,5,9290.9120000000003,5992.4179999999997,3267.1970000000001,0.26900000000000002,0,27674.352999999999,36967.555,128,12,12,NO_SAFE_PATH
VUE031,VALIDATION_SEEN_AFTER_V1,6,9154.1859999999997,5900.3779999999997,3223.665,0.32200000000000001,0,24744.486000000001,33900.803999999996,128,12,12,NO_SAFE_PATH
VUE032,VALIDATION_SEEN_AFTER_V1,0,6769.3339999999998,4145.6690000000008,2592.444,4.665,386.721,0,7158.1440000000002,128,12,12,FRESH_SELECTED
VUE032,VALIDATION_SEEN_AFTER_V1,1,6924.018,4157.4459999999999,2735.4560000000001,4.2089999999999996,393.43000000000001,0,7319.4849999999997,128,12,12,FRESH_SELECTED
