development_event_id,mechanism_class,template_primary_class,a_existing_mid_pool_recovered,a_dev_counterfactual_recovered,b_cross_transition_recovered,ab_dev_counterfactual_recovered,full_hard_valid_configuration_count,full_unique_hard_valid_lateral_count,full_unique_hard_valid_transition_count,required_side,ego_to_obstacle_start_m,obstacle_longitudinal_span_m,obstacle_raw_d_right_m,obstacle_raw_d_left_m,obstacle_inflated_d_right_m,obstacle_inflated_d_left_m,chosen_side_free_space_width_m,corridor_bottleneck_width_m,corridor_bottleneck_station_m,corridor_bottleneck_center_m,corridor_bottleneck_active_obstacles,available_merge_distance_after_obstacle_m,available_merge_distance_status,ego_d_m,ego_speed_mps,required_d_target_m,required_d_mid_m,required_entry_scale,required_exit_scale,reference_curvature_entry_radpm,reference_curvature_obstacle_radpm,reference_curvature_exit_radpm,maximum_abs_reference_curvature_maneuver_radpm,reference_curvature_pattern,track_total_width_entry_m,track_total_width_obstacle_m,track_total_width_exit_m,track_width_range_over_maneuver_m
DVE018,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,False,True,True,194,49,8,RIGHT,0.15382019938524572,0.02258385553616371,-0.16325266281210604,-0.13640523660447376,-0.393252662812106,0.09359476339552622,0.7417473371878942,0.7417473371878942,0.16511212715332757,-0.7641263314060531,[56],14.82359594507859,CENSORED_AT_15M_LOOKAHEAD,-0.284914874967086,0.0,-0.39999999999999997,-0.4099999999999992,0.51458109301505117,7.3975462023963852,0.24645390860160377,0.24645390860160377,0.4142614494128863,0.47927416490779295,SIGN_CHANGE,2.2875,2.2875,1.85,1.4374999999999998
DVE019,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,True,True,False,True,240,120,2,RIGHT,0.9242968665130817,0.2321814437226699,-0.4066515960958754,-0.1180729349779503,-0.6366515960958754,0.11192706502204969,0.39834840390412474,0.39834840390412474,0.9826821331904823,-0.8358257980479378,[56],13.843521689764248,CENSORED_AT_15M_LOOKAHEAD,-0.7136206839870988,3.5784287547469145,-0.63665159609587541,-0.67000000000000004,0.51458109301505117,0.49716841625749453,0.24607367480059747,0.2397435014231303,2.0880724061894456e-15,0.30429655648995757,SIGN_CHANGE,2.4625000000000004,2.1875,2.175,0.1625000000000001
DVE020,OTHER,,False,False,False,False,288,179,2,RIGHT,0.4278088916760332,0.20523292539920845,-0.26902642034542323,-0.09977811888821557,-0.4990264203454232,0.1302218811117844,0.1984735796545768,0.1984735796545768,0.5106477302131935,-0.5982632101727117,[610],14.366958182924758,CENSORED_AT_15M_LOOKAHEAD,-0.6895766687041971,0.0,-0.58999999999999997,-0.60999999999999921,0.71366941165554731,0.49716841625749453,1.538579667718559e-15,-1.538579667718563e-15,0.020857517016226755,0.23670338713013944,NEGATIVE,1.8625000000000003,1.8375000000000001,1.9000000000000001,0.08750000000000013
DVE022,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,168,114,2,LEFT,0.4851036448111117,0.2239179757076002,-0.32750540426590147,-0.13801027802617674,-0.5575054042659014,0.09198972197382324,0.6930102780261768,0.6930102780261768,0.5306991850005787,0.43849486098691165,[0],14.290978379481288,CENSORED_AT_15M_LOOKAHEAD,0.03190756548771647,0.04957943274909116,0.14999999999999999,0.15992187499999999,0.71366941165554731,0.49716841625749453,3.736550621602234e-15,-4.1761448123789126e-15,0.47927416490779295,0.4238114529299328,SIGN_CHANGE,1.9000000000000001,1.9000000000000001,2.0500000000000003,0.10000000000000009
DVE023,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,100,50,2,LEFT,0.17192010773635147,0.18202681556554268,0.09897517421129542,0.30327892574046955,-0.13102482578870456,0.5332789257404695,0.11422107425953043,0.11422107425953043,0.2629335155191228,0.5903894628702347,[185],1.0019090447948535,TO_NEXT_VISIBLE_OBSTACLE,0.7328996045142494,0.7145730984090704,0.53327892574046953,0.54000000000000004,0.51458109301505117,0.49716841625749453,0.06753440641302363,-0.05429705466428342,-0.5167799623791525,0.45889352187350607,NEGATIVE,1.7625000000000002,1.7625000000000002,2.1,0.125
DVE024,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,False,True,True,387,48,27,RIGHT,0.11156395519701379,0.01997398176933718,-0.22966705945396312,-0.22570471546576468,-0.45966705945396313,0.004295284534235305,0.2003329405460369,0.2003329405460369,0.12155094608168238,-0.5598335297269816,[17],0.9891007272198014,TO_NEXT_VISIBLE_OBSTACLE,-0.3991337981715181,0.04239411349799556,-0.45966705945396313,-0.44999999999999918,1.310934367577036,3.9473573093269398,0.605537730392042,0.605537730392042,-2.1979709538836443e-16,0.605537730392042,SIGN_CHANGE,2.0,2.0,2.2750000000000004,0.6500000000000004
DVE029,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,True,True,86,45,5,RIGHT,0.22371635112229882,0.024104005176695864,-0.17695853087089278,-0.14717407349106185,-0.40695853087089273,0.08282592650893814,0.17804146912910723,0.17804146912910723,0.23576835371064675,-0.49597926543544635,[185],14.752179643701005,CENSORED_AT_15M_LOOKAHEAD,-0.2417432269895621,0.0,-0.40695853087089273,-0.40999999999999992,1.310934367577036,3.5762483166862471,-0.2889085257440994,-0.26122816555404177,-7.692898338592759e-16,0.6926792346629709,SIGN_CHANGE,1.85,1.8125,1.975,1.5999999999999996
DVE030,OTHER,,False,False,False,False,224,112,2,LEFT,0.21110821307818217,0.3782188521658767,-0.673524705447811,0.0432871958820671,-0.9035247054478109,0.27328719588206707,1.1557523472702633,0.711712804117933,0.21787376153619487,0.6291435979410336,[79],3.8111386555760456,TO_NEXT_VISIBLE_OBSTACLE,-0.008292162020816451,0.0,0.27328719588206707,0.050000000000000766,0.51458109301505117,0.49716841625749453,0.659405264656562,0.6636512270917774,0.24549519270284087,0.6926792346629709,POSITIVE,2.2125000000000004,2.0,2.6500000000000004,0.6500000000000004
DVE031,TEMPLATE_OR_TRANSITION_SELECTION,SELECTION_FAILURE_WITH_EXISTING_OPTION,False,False,True,True,70,52,3,RIGHT,0.15668647763429,0.02336336869877087,-0.15769918093978333,-0.13178225898875226,-0.3876991809397833,0.09821774101124772,0.747300819060217,0.747300819060217,0.16836816198367544,-0.7613495904698917,[56],14.81995015366694,CENSORED_AT_15M_LOOKAHEAD,-0.27695116317693014,0.0,-0.38999999999999996,-0.4099999999999992,1.310934367577036,3.9473573093269398,0.24645390860160377,0.24645390860160377,1.4286811200243612e-15,0.30429655648995757,SIGN_CHANGE,2.2875,2.2875,1.9125,1.3375
DVE032,OTHER,,False,False,False,False,8,4,2,LEFT,0.2426640495651493,0.36997784371022924,-0.4524150099138832,0.252473732234475,-0.6824150099138833,0.482473732234475,0.9566363250473111,0.49002626776552516,0.25220363101625765,0.7274868661172376,[79],2.4497569739896288,TO_NEXT_VISIBLE_OBSTACLE,0.20151923796426296,0.0,0.57000000000000006,0.37000000000000005,0.51458109301505117,0.49716841625749453,0.6926792346629709,0.605537730392042,0.24607367480059747,0.6926792346629709,POSITIVE,2.075,2.0,2.4625000000000004,0.6500000000000004
DVE037,OTHER,,False,False,False,False,464,251,2,LEFT,0.9047602751418928,0.43108409747922494,-0.28674173549543247,0.02442498498172843,-0.5167417354954325,0.2544249849817284,0.5680750150182715,0.5680750150182715,1.1123253520399428,0.5384624924908641,[153],13.664155627378882,CENSORED_AT_15M_LOOKAHEAD,0.6655301070989192,0.0,0.63,0.65000000000000002,0.51458109301505117,0.49716841625749453,0.4460251252637153,0.33652535260741784,0.23638448673222853,0.4460251252637153,POSITIVE,2.1125,2.3125,2.1500000000000004,0.5875000000000004
DVE038,TEMPLATE_OR_TRANSITION_SELECTION,COVERAGE_FAILURE_MISSING_OPTION,False,True,False,True,1264,708,2,RIGHT,0.5339669472764044,0.19662852828758304,-0.24445139397443796,-0.03383432433051088,-0.4744513939744379,0.19616567566948911,0.2480486060255621,0.2480486060255621,0.5729047683254187,-0.5984756969872189,[610],3.486163140357327,TO_NEXT_VISIBLE_OBSTACLE,-0.6678188238445597,0.21940299579622805,-0.47832715344358734,-0.49999999999999917,0.71366941165554731,0.49716841625749453,-6.593912861650967e-16,1.538579667718559e-15,2.1979709538836328e-15,4.1761448123789126e-15,NEAR_ZERO,1.8625000000000003,1.8625000000000003,1.875,0.0625
DVE039,S_PROBE_DOMINANT,,False,False,False,False,1052,612,5,LEFT,5.666870390290168,0.11180145956706511,-0.2068537982807025,0.058931620812391436,-0.4368537982807025,0.28893162081239143,0.6585683791876085,0.6585683791876085,5.684739836872916,0.6182158104061957,[690],9.221328150142767,CENSORED_AT_15M_LOOKAHEAD,-1.0634893075228096,0.0,0.70000000000000018,0.70000000000000095,1.310934367577036,5.7601554773499748,0.24713265880620555,9.89086929247632e-16,0.5477227546574468,0.694169267872928,SIGN_CHANGE,2.625,2.15,1.8625000000000003,1.5999999999999996
