episode_id,bag,start_elapsed_s,end_elapsed_s,duration_s,callback_count,first_callback_sequence,last_callback_sequence,source_epoch,eligible_snapshot_count,earliest_eligible_callback_sequence,earliest_eligible_evaluation_sequence,earliest_eligible_offset_callbacks,lifecycle_at_episode_start,fallback_at_episode_start
rosbag2_2026_08_24-19_00_30__EP0070,rosbag2_2026_08_24-19_00_30,553.570171463,553.990085465,0.419914002,18,19721,19738,2,18,19721,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0071,rosbag2_2026_08_24-19_00_30,554.070113972,554.340109168,0.269995196,12,19741,19752,2,12,19741,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0072,rosbag2_2026_08_24-19_00_30,554.520097442,554.540061833,0.019964391,2,19759,19760,2,2,19759,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0073,rosbag2_2026_08_24-19_00_30,555.490095535,555.59010838,0.100012845,4,19798,19801,2,4,19798,2,0,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0074,rosbag2_2026_08_24-19_00_30,555.690261954,555.970253506,0.279991552,10,19805,19814,2,10,19805,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0075,rosbag2_2026_08_24-19_00_30,556.070105096,556.170112588,0.100007492,5,19818,19822,2,5,19818,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0076,rosbag2_2026_08_24-19_00_30,556.220083001,556.740098075,0.520015074,22,19824,19845,2,19,19824,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0077,rosbag2_2026_08_24-19_00_30,577.84009522,577.990065982,0.149970762,7,20689,20695,2,7,20689,2,0,IDLE,BOUNDARY_HANDOFF_UNRESOLVED
rosbag2_2026_08_24-19_00_30__EP0078,rosbag2_2026_08_24-19_00_30,589.140083577,589.420092806,0.280009229,11,21141,21151,2,11,21141,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0079,rosbag2_2026_08_24-19_00_30,589.490094599,589.540081038,0.049986439,3,21154,21156,2,3,21154,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0080,rosbag2_2026_08_24-19_00_30,590.020254282,590.13010936,0.109855078,4,21175,21178,2,4,21175,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0081,rosbag2_2026_08_24-19_00_30,590.280092285,590.380094141,0.100001856,2,21180,21181,2,2,21180,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0082,rosbag2_2026_08_24-19_00_30,590.540089017,590.650079636,0.109990619,2,21185,21186,2,2,21185,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0083,rosbag2_2026_08_24-19_00_30,614.520110836,614.540102042,0.019991206,2,22137,22138,2,2,22137,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0084,rosbag2_2026_08_24-19_00_30,648.990111683,649.330085618,0.339973935,3,23516,23518,2,0,,,,IDLE,NO_HARD_VALID_M1_CANDIDATE
rosbag2_2026_08_24-19_00_30__EP0085,rosbag2_2026_08_24-19_00_30,654.470261089,656.830240105,2.359979016,21,23721,23741,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0086,rosbag2_2026_08_24-19_00_30,659.660233304,659.870071408,0.209838104,10,23846,23855,2,10,23846,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0087,rosbag2_2026_08_24-19_00_30,660.140076265,660.470229188,0.330152923,14,23866,23879,2,14,23866,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0088,rosbag2_2026_08_24-19_00_30,660.720273091,660.840115459,0.119842368,6,23889,23894,2,6,23889,1,0,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0089,rosbag2_2026_08_24-19_00_30,680.700117098,681.870121719,1.170004621,48,24688,24735,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
rosbag2_2026_08_24-19_00_30__EP0090,rosbag2_2026_08_24-19_00_30,685.940164936,686.790084722,0.849919786,35,24898,24932,2,0,,,,IDLE,SAFE_STOP_AUTHORITY
