dataset_role,event_id,budget_b,lateral_proposal_parity,transition_proposal_parity,pair_pool_order_parity,proxy_tuple_parity,selected_top12_config_parity,candidate_digest_parity,validator_verdict_parity,hard_usable_result_parity,final_selection_parity,all_parity,native_laterals,native_transitions,native_pair_proxies,native_reconstructions,native_validator_calls
DEVELOPMENT,DVE029,128,1,1,1,1,1,1,1,1,1,1,38,7,128,12,11
DEVELOPMENT,DVE030,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE030,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE030,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE031,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE031,96,1,1,1,1,1,1,1,1,1,1,40,7,96,12,10
DEVELOPMENT,DVE031,128,1,1,1,1,1,1,1,1,1,1,40,7,128,12,11
DEVELOPMENT,DVE032,64,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE032,96,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE032,128,1,1,1,1,1,1,1,1,1,1,23,2,44,12,10
DEVELOPMENT,DVE033,64,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE033,96,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE033,128,1,1,1,1,1,1,1,1,1,1,32,2,62,12,10
DEVELOPMENT,DVE034,64,1,1,1,1,1,1,1,1,1,1,32,5,64,12,11
DEVELOPMENT,DVE034,96,1,1,1,1,1,1,1,1,1,1,32,5,96,12,11
DEVELOPMENT,DVE034,128,1,1,1,1,1,1,1,1,1,1,32,5,128,12,11
DEVELOPMENT,DVE035,64,1,1,1,1,1,1,1,1,1,1,31,7,64,12,10
DEVELOPMENT,DVE035,96,1,1,1,1,1,1,1,1,1,1,31,7,96,12,10
DEVELOPMENT,DVE035,128,1,1,1,1,1,1,1,1,1,1,31,7,128,12,10
DEVELOPMENT,DVE036,64,1,1,1,1,1,1,1,1,1,1,36,6,64,12,10
DEVELOPMENT,DVE036,96,1,1,1,1,1,1,1,1,1,1,37,6,96,12,10
DEVELOPMENT,DVE036,128,1,1,1,1,1,1,1,1,1,1,37,6,128,12,10
DEVELOPMENT,DVE037,64,1,1,1,1,1,1,1,1,1,1,36,2,64,12,11
DEVELOPMENT,DVE037,96,1,1,1,1,1,1,1,1,1,1,41,2,80,12,11
DEVELOPMENT,DVE037,128,1,1,1,1,1,1,1,1,1,1,41,2,80,12,11
DEVELOPMENT,DVE038,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE038,96,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE038,128,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
DEVELOPMENT,DVE039,64,1,1,1,1,1,1,1,1,1,1,36,7,64,12,10
DEVELOPMENT,DVE039,96,1,1,1,1,1,1,1,1,1,1,48,7,96,12,11
DEVELOPMENT,DVE039,128,1,1,1,1,1,1,1,1,1,1,64,7,128,12,10
DEVELOPMENT,DVE040,64,1,1,1,1,1,1,1,1,1,1,21,6,64,12,10
DEVELOPMENT,DVE040,96,1,1,1,1,1,1,1,1,1,1,21,6,96,12,10
DEVELOPMENT,DVE040,128,1,1,1,1,1,1,1,1,1,1,21,6,126,12,10
VALIDATION_SEEN_AFTER_V1,VUE001,64,1,1,1,1,1,1,1,1,1,1,32,7,64,12,10
VALIDATION_SEEN_AFTER_V1,VUE001,96,1,1,1,1,1,1,1,1,1,1,32,7,96,12,10
VALIDATION_SEEN_AFTER_V1,VUE001,128,1,1,1,1,1,1,1,1,1,1,32,7,128,12,10
VALIDATION_SEEN_AFTER_V1,VUE002,64,1,1,1,1,1,1,1,1,1,1,31,2,60,12,10
