event_id,dataset_role,source_kind,seed_index,side,d_target,d_mid,entry_scale,exit_scale,generator_stage,candidate_template,source_cell,root_type,probe_location_rule,probe_anchor_rule,semantic_class,target_value_consumed_by_lateral_bank,transition_value_selected_into_bounded_set,supports_any_hard_lateral,supports_any_usable_lateral,supports_any_hard_transition,supports_any_usable_transition,root_or_probe_numeric_value_read_by_gqsc
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,13,RIGHT,-0.45966705945396313,-0.5598335297269792,0.5394671328451132,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,14,RIGHT,-0.45966705945396313,-0.559833529726985,0.5270241129300821,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,15,RIGHT,-0.45966705945396313,-0.5598335297269795,0.5208026029725666,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,16,RIGHT,-0.45966705945396313,-0.5598335297269794,0.5176918479938089,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,17,RIGHT,-0.45966705945396313,-0.5598335297269814,0.51613647050443,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,18,RIGHT,-0.45966705945396313,-0.5598335297269814,0.5153587817597406,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,19,RIGHT,-0.45966705945396313,-0.5598335297269831,0.5149699373873959,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,20,RIGHT,-0.45966705945396313,-0.5598335297269816,0.5147755152012236,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,21,RIGHT,-0.45966705945396313,-0.5598335297269802,0.5146783041081373,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,22,RIGHT,-0.45966705945396313,-0.5598335297269807,0.5146296985615942,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,23,RIGHT,-0.45966705945396313,-0.5598335297269791,0.5146053957883228,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,24,RIGHT,-0.45966705945396313,-0.5598335297269827,0.514593244401687,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,25,RIGHT,-0.45966705945396313,-0.5598335297269819,0.5145871687083691,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,26,RIGHT,-0.45966705945396313,-0.5598335297269807,0.5145841308617101,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,27,RIGHT,-0.45966705945396313,-0.5598335297269811,0.5145826119383806,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,28,RIGHT,-0.45966705945396313,-0.5598335297269814,0.5145818524767158,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE024,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,29,RIGHT,-0.45966705945396313,-0.5598335297269814,0.5145814727458835,7.397546202396385,M1,NEAR_BISECTED,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,0,1,1,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,0,LEFT,0.2396651784717656,0.6283165963769541,0.5145810930150512,0.5921644291425211,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,1,LEFT,0.2396651784717656,0.6283165963769541,0.5145810930150512,3.5370408285783457,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,2,LEFT,0.2396651784717656,0.6283165963769541,0.5145810930150512,6.576913240899197,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,3,LEFT,0.2396651784717656,0.6283165963769541,1.310934367577036,0.5921644291425211,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,4,LEFT,0.2396651784717656,0.6283165963769541,1.310934367577036,3.5370408285783457,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,5,LEFT,0.2396651784717656,0.6283165963769541,1.310934367577036,6.576913240899197,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE025,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,6,LEFT,0.2396651784717656,0.8757566556387222,1.310934367577036,6.576913240899197,M1,NEAR_LONG,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,1,0,0,0,0,0
DVE026,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,0,LEFT,0.3208918140518043,0.3208918140518043,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE026,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,1,LEFT,0.3208918140518043,0.3208918140518043,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,0,LEFT,0.15,0.15000000000000324,0.5145810930150512,0.5888479394644465,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,0,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,1,LEFT,0.15,0.15000000000000324,0.5145810930150512,3.430913158879957,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,2,LEFT,0.15,0.15000000000000324,0.5145810930150512,6.36465790150242,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,3,RIGHT,-0.5292891023471264,-0.5292891023471264,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,4,LEFT,0.1710546875,0.1710546875,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,5,RIGHT,-0.5292891023471264,-0.5292891023471264,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,6,LEFT,0.1710546875,0.1710546875,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE027,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,7,LEFT,0.15,0.8379174505385599,1.310934367577036,6.36465790150242,M1,NEAR_LONG,ACTIVE_OUTER,ACTIVE_OUTER,CORRIDOR_BOTTLENECK,CORRIDOR_CENTER,ANALYTIC_ACTIVE_OUTER_ROOT,1,1,0,0,0,0,0
DVE028,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,0,LEFT,0.40520469953001187,0.40520469953001187,0.5145810930150512,0.4971684162574945,M1,ZERO_BOUNDARY_SHORT,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE028,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,1,LEFT,0.40520469953001187,0.40520469953001187,0.7136694116555473,0.4971684162574945,M1,ZERO_BOUNDARY_SPAN,ZERO_INTERFACE,ZERO_INTERFACE,NONE,NONE,ZERO_INTERFACE_DIRECT_ANCHOR,1,1,0,0,0,0,0
DVE029,DEVELOPMENT,FROZEN_PRODUCTION_FAILURE,0,RIGHT,-0.40695853087089273,-0.4869585308708918,0.5145810930150512,0.593389663145893,M0_V1,FROZEN_V1_CURVATURE_CONTINUITY,ACTIVE_OUTER,ACTIVE_OUTER,CURVATURE_CORRIDOR_CRITICAL,CONTINUITY_BIASED_SAFE_ANCHOR,M0_V1_ANALYTIC_PROBE_ROOT,1,0,1,1,0,0,0
