event_id,method,lateral_factor_count,lateral_factor_cap,transition_factor_count,transition_family_cap,pair_proxy_count,pair_proxy_cap,reconstruction_count,reconstruction_cap,validator_count,validator_cap,legacy_seed_count_consumed,legacy_builder_or_validator_called_inside_standalone,all_bounds_pass
DVE034,LEGACY_SEEDED_TEACHER_B128,32,64,5,7,128,128,12,12,11,12,6,0,1
DVE034,STANDALONE_DIRECT_SEED_B128,30,64,7,7,128,128,12,12,11,12,0,0,1
DVE035,LEGACY_SEEDED_TEACHER_B128,31,64,7,7,128,128,12,12,10,12,8,0,1
DVE035,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,10,12,0,0,1
DVE036,LEGACY_SEEDED_TEACHER_B128,37,64,6,7,128,128,12,12,10,12,7,0,1
DVE036,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,9,12,0,0,1
DVE037,LEGACY_SEEDED_TEACHER_B128,41,64,2,7,80,128,12,12,11,12,3,0,1
DVE037,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
DVE038,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,10,12,2,0,1
DVE038,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
DVE039,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,10,12,18,0,1
DVE039,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,11,12,0,0,1
DVE040,LEGACY_SEEDED_TEACHER_B128,21,64,6,7,126,128,12,12,10,12,7,0,1
DVE040,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE001,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,10,12,12,0,1
VUE001,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,10,12,0,0,1
VUE002,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,10,12,2,0,1
VUE002,STANDALONE_DIRECT_SEED_B128,59,64,7,7,128,128,12,12,12,12,0,0,1
VUE003,LEGACY_SEEDED_TEACHER_B128,31,64,7,7,128,128,12,12,12,12,8,0,1
VUE003,STANDALONE_DIRECT_SEED_B128,31,64,7,7,128,128,12,12,12,12,0,0,1
VUE004,LEGACY_SEEDED_TEACHER_B128,37,64,6,7,128,128,12,12,12,12,7,0,1
VUE004,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,9,12,0,0,1
VUE005,LEGACY_SEEDED_TEACHER_B128,40,64,7,7,128,128,12,12,11,12,9,0,1
VUE005,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE006,LEGACY_SEEDED_TEACHER_B128,40,64,7,7,128,128,12,12,11,12,9,0,1
VUE006,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE007,LEGACY_SEEDED_TEACHER_B128,40,64,7,7,128,128,12,12,11,12,9,0,1
VUE007,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE008,LEGACY_SEEDED_TEACHER_B128,37,64,6,7,128,128,12,12,11,12,7,0,1
VUE008,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,9,12,0,0,1
VUE009,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
VUE009,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE010,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,11,12,2,0,1
VUE010,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE011,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,11,12,2,0,1
VUE011,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
VUE012,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
VUE012,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE013,LEGACY_SEEDED_TEACHER_B128,32,64,7,7,128,128,12,12,10,12,8,0,1
VUE013,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE014,LEGACY_SEEDED_TEACHER_B128,23,64,2,7,44,128,12,12,10,12,2,0,1
VUE014,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE015,LEGACY_SEEDED_TEACHER_B128,32,64,2,7,62,128,12,12,10,12,2,0,1
VUE015,STANDALONE_DIRECT_SEED_B128,59,64,7,7,128,128,12,12,10,12,0,0,1
VUE016,LEGACY_SEEDED_TEACHER_B128,32,64,3,7,94,128,12,12,10,12,3,0,1
VUE016,STANDALONE_DIRECT_SEED_B128,32,64,7,7,128,128,12,12,10,12,0,0,1
VUE017,LEGACY_SEEDED_TEACHER_B128,31,64,2,7,60,128,12,12,12,12,2,0,1
VUE017,STANDALONE_DIRECT_SEED_B128,59,64,7,7,128,128,12,12,12,12,0,0,1
VUE018,LEGACY_SEEDED_TEACHER_B128,38,64,7,7,128,128,12,12,11,12,9,0,1
VUE018,STANDALONE_DIRECT_SEED_B128,62,64,7,7,128,128,12,12,10,12,0,0,1
VUE019,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,11,12,30,0,1
VUE019,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,11,12,0,0,1
VUE020,LEGACY_SEEDED_TEACHER_B128,30,64,2,7,58,128,12,12,10,12,2,0,1
VUE020,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,10,12,0,0,1
VUE021,LEGACY_SEEDED_TEACHER_B128,64,64,7,7,128,128,12,12,11,12,21,0,1
VUE021,STANDALONE_DIRECT_SEED_B128,63,64,7,7,128,128,12,12,12,12,0,0,1
VUE022,LEGACY_SEEDED_TEACHER_B128,32,64,5,7,128,128,12,12,10,12,6,0,1
VUE022,STANDALONE_DIRECT_SEED_B128,29,64,7,7,128,128,12,12,11,12,0,0,1
