event_id,dataset_role,bag,source_kind,legacy_hard_valid,legacy_usable_valid,legacy_selected_digest,teacher_hard_valid,teacher_usable_valid,standalone_hard_valid,standalone_usable_valid,teacher_selected_digest,standalone_selected_digest,selected_digest_exact,teacher_vs_legacy_selected_digest_exact,standalone_vs_legacy_selected_digest_exact,teacher_hard_candidate_count,standalone_hard_candidate_count,hard_candidate_digest_intersection,hard_candidate_digest_union,teacher_usable_candidate_count,standalone_usable_candidate_count,usable_candidate_digest_intersection,usable_candidate_digest_union,teacher_reconstructions,teacher_validators,standalone_reconstructions,standalone_validators
DVE018,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,08dd6c73cd03a774,08dd6c73cd03a774,1,0,0,10,10,9,11,10,10,9,11,12,11,12,10
DVE019,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,1,1,ee1bffaedaceae25,478371406d540558,0,0,0,11,12,0,23,0,11,0,11,12,11,12,12
DVE020,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,c95cc95d0d3cbe89,cf86fe0c77b35947,0,0,0,6,3,1,8,6,3,1,8,12,10,12,11
DVE021,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE022,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,1,1,NONE,8c8e23a5462309a6,0,1,0,0,10,0,10,0,10,0,10,12,11,12,11
DVE023,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,0,0,0,b8843e9bda3eaf0e,NONE,0,0,1,1,0,0,1,0,0,0,0,12,10,12,10
DVE024,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,ba34849e0919dfa8,ba34849e0919dfa8,1,0,0,10,10,10,10,10,10,10,10,12,11,12,10
DVE025,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE026,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE027,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE028,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,1,1,NONE,c2689998875add3c,0,1,0,0,3,0,3,0,3,0,3,12,10,12,10
DVE029,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,1cb49b9c4b90cccf,1cb49b9c4b90cccf,1,0,0,6,6,6,6,6,6,6,6,12,11,12,10
DVE030,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,7bfffdb6149d2531,7bfffdb6149d2531,1,0,0,1,1,1,1,1,1,1,1,12,10,12,11
DVE031,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,48f18152a68e6dc7,48f18152a68e6dc7,1,0,0,10,10,9,11,10,10,9,11,12,11,12,10
DVE032,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE033,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE034,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,11,12,11
DVE035,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
DVE036,DEVELOPMENT,rosbag2_2026_08_24-19_24_17,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,9
DVE037,DEVELOPMENT,rosbag2_2026_08_24-19_00_30,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,237b14031c68c366,237b14031c68c366,1,0,0,2,4,2,4,2,4,2,4,12,11,12,10
DVE038,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,1,1,108ef23f9f73ad79,5e5878151111a007,0,0,0,10,5,3,12,10,5,3,12,12,10,12,11
DVE039,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,1,1,0,0,3dc1c37301f2f101,NONE,0,0,1,1,0,0,1,1,0,0,1,12,10,12,11
DVE040,DEVELOPMENT,rosbag2_2026_08_25-09_59_22,FROZEN_PRODUCTION_FAILURE,0,0,NONE,0,0,0,0,NONE,NONE,1,1,1,0,0,0,0,0,0,0,0,12,10,12,10
