event_id,lateral_factors,transition_factors,raw_combinations,production_configurations_excluded,unique_configurations,unique_exact_profiles,full_proxy_evaluations_after,exact_profile_reuses,evaluation_reduction_fraction,exact_skip_reason,station_basis_builds,station_basis_reuses,r3_total_ms_after
VUE018,1204,8,9632,9,9623,5467,5467,4156,0.431882,EXACT_PROFILE_EQUIVALENCE_REUSE,156,5311,22.948
VUE019,4471,16,71536,30,71506,71506,71506,0,0.000000,NONE_ALL_PROFILES_UNIQUE,32,71474,166.174
VUE020,1033,2,2066,2,2064,1032,1032,1032,0.500000,EXACT_PROFILE_EQUIVALENCE_REUSE,39,993,9.877
VUE021,4145,12,49740,21,49719,41065,41065,8654,0.174058,EXACT_PROFILE_EQUIVALENCE_REUSE,392,40673,111.443
VUE022,1522,5,7610,6,7604,7604,7604,0,0.000000,NONE_ALL_PROFILES_UNIQUE,5,7599,19.841
VUE023,1012,2,2024,2,2022,1226,1226,796,0.393670,EXACT_PROFILE_EQUIVALENCE_REUSE,26,1200,8.402
VUE024,1012,2,2024,2,2022,1166,1166,856,0.423343,EXACT_PROFILE_EQUIVALENCE_REUSE,20,1146,9.239
VUE025,3238,12,38856,20,38836,28523,28523,10313,0.265553,EXACT_PROFILE_EQUIVALENCE_REUSE,524,27999,87.549
VUE026,1042,6,6252,7,6245,3209,3209,3036,0.486149,EXACT_PROFILE_EQUIVALENCE_REUSE,90,3119,17.534
VUE027,1220,29,35380,30,35350,8700,8700,26650,0.753890,EXACT_PROFILE_EQUIVALENCE_REUSE,137,8563,50.549
VUE028,1360,8,10880,9,10871,6631,6631,4240,0.390029,EXACT_PROFILE_EQUIVALENCE_REUSE,128,6503,27.975
VUE029,1201,6,7206,7,7199,3767,3767,3432,0.476733,EXACT_PROFILE_EQUIVALENCE_REUSE,120,3647,18.853
VUE030,1204,8,9632,9,9623,5143,5143,4480,0.465551,EXACT_PROFILE_EQUIVALENCE_REUSE,132,5011,23.688
VUE031,616,6,3696,7,3689,1845,1845,1844,0.499864,EXACT_PROFILE_EQUIVALENCE_REUSE,69,1776,13.052
VUE032,2724,9,24516,12,24504,24504,24504,0,0.000000,NONE_ALL_PROFILES_UNIQUE,9,24495,53.022
VUE033,1227,2,2454,2,2452,2027,2027,425,0.173328,EXACT_PROFILE_EQUIVALENCE_REUSE,18,2009,10.193
VUE034,1227,2,2454,2,2452,2027,2027,425,0.173328,EXACT_PROFILE_EQUIVALENCE_REUSE,18,2009,10.191
VUE035,1314,2,2628,3,2625,2061,2061,564,0.214857,EXACT_PROFILE_EQUIVALENCE_REUSE,19,2042,10.154
VUE036,1202,2,2404,3,2401,1949,1949,452,0.188255,EXACT_PROFILE_EQUIVALENCE_REUSE,19,1930,9.898
VUE037,2248,14,31472,17,31455,15728,15728,15727,0.499984,EXACT_PROFILE_EQUIVALENCE_REUSE,427,15301,58.966
