event_id,dataset_role,pre_change_fresh_s1_evaluations,post_change_fresh_s1_evaluations,logical_safe_stop_escape_probes,fresh_distinct_escape_evaluations,cached_equivalent_escape_probes,all_same_input_reuses_including_plan,callback_global_validate_candidate_executions,s1_reconstructions_sum,s1_evaluator_validator_sum,final_outcome,final_path_digest
VUE034,VALIDATION_SEEN_AFTER_V1,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,184aa7c63ab2856c
VUE035,VALIDATION_SEEN_AFTER_V1,2,2,1,1,0,1,24,24,24,NO_SAFE_PATH,NONE
VUE036,VALIDATION_SEEN_AFTER_V1,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,e16d216d4ddd2d23
VUE037,VALIDATION_SEEN_AFTER_V1,2,2,1,1,0,1,24,24,24,NO_SAFE_PATH,NONE
SCE001,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,a190d346d1dceee2
SCE002,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,b8457df9cd0f0fc7
SCE003,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,fe720e33f9f57ef4
SCE004,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,2b2e903b893f5399
SCE005,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,87602a80513d644a
SCE006,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,6bc657c12b2f57d1
SCE007,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,ef186819bb103426
SCE008,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,73c59bf83c6094ea
SCE009,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,584a0ec9c1414856
SCE010,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,0fcc29c91ebe70b9
SCE011,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,1b84ec996100cb52
SCE012,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,2f5ee152645aac1a
SCE013,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,46ac316951745763
SCE014,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,0a6fd255519f908e
SCE015,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,6ea3bfb882d51415
SCE016,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,169fe9355120d70a
SCE017,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,1d00c0b0616a29b4
SCE018,SUCCESS_CONTROL_SEEN,1,1,0,0,0,0,13,12,12,FRESH_SELECTED,c7b2c19bf2af9350
